Argentina,2022-01-09,423109
Costa Rica,2022-02-10,17422
China,2022-01-06,8082143
Azerbaijan,2022-01-25,20546
Montenegro,2022-01-02,1323
Costa Rica,2022-02-02,13850
Upper middle income,2022-02-06,4759643
Switzerland,2022-02-15,9623
Australia,2022-01-05,123642
Malaysia,2022-02-10,123283
Papua New Guinea,2022-01-15,360
Lebanon,2022-01-30,13751
Iraq,2022-02-04,42762
Japan,2022-02-10,655971
Haiti,2022-01-22,523
Turkey,2022-01-28,150830
Cayman Islands,2022-01-27,130
Samoa,2022-01-22,212
Lebanon,2022-01-03,15943
Honduras,2022-01-04,35062
Oceania,2022-02-03,254398
New Caledonia,2022-01-23,205
Argentina,2022-01-15,392616
Denmark,2022-01-17,36536
Ireland,2022-01-07,29278
Japan,2022-01-03,156285
Paraguay,2022-01-04,28837
Jamaica,2022-02-19,1757
Israel,2022-01-18,39616
Solomon Islands,2022-01-17,760
Ireland,2022-01-08,31599
Montserrat,2022-02-10,15
Burundi,2022-02-17,
Kuwait,2022-01-07,13430
Zimbabwe,2022-01-02,10592
Philippines,2022-01-12,772688
Kiribati,2022-02-06,330
Malaysia,2022-02-16,154707
Sudan,2022-01-12,8915
Bahamas,2022-01-19,434
South Korea,2022-01-04,464639
Gambia,2022-01-02,2018
Curacao,2022-01-02,1437
Zimbabwe,2022-02-08,9643
North America,2022-01-24,2138299
Mauritania,2022-02-07,4508
Sudan,2022-01-19,9709
Zambia,2022-01-21,26534
Norway,2022-01-05,31685
Faeroe Islands,2022-02-08,48
Greenland,2022-01-29,12
Kosovo,2022-01-03,1376
Panama,2022-01-22,25617
Jersey,2022-01-08,535
United States,2022-02-03,543759
Bolivia,2022-01-30,44154
Turks and Caicos Islands,2022-01-09,122
Low income,2022-01-03,1137170
Lebanon,2022-01-14,26437
Somalia,2022-01-07,5028
Senegal,2022-01-09,2179
Nicaragua,2022-01-25,36815
Finland,2022-02-03,39803
Ukraine,2022-02-20,52926
Brazil,2022-01-13,728628
Estonia,2022-01-14,4605
Austria,2022-02-05,26212
High income,2022-01-03,5092381
Trinidad and Tobago,2022-02-02,1840
Croatia,2022-01-14,18595
Grenada,2022-02-11,58
Brazil,2022-01-20,1624605
Wales,2022-01-24,6802
Eswatini,2022-01-20,3302
Namibia,2022-01-28,16331
Mongolia,2022-01-21,5175
Macao,2022-02-15,2279
Mozambique,2022-01-02,90954
Haiti,2022-01-11,251
Isle of Man,2022-02-06,107
Bangladesh,2022-01-14,1244271
China,2022-01-04,9692143
Tunisia,2022-01-25,19016
Kyrgyzstan,2022-01-20,10267
Sint Maarten (Dutch part),2022-01-31,65
Barbados,2022-01-22,145
Dominican Republic,2022-01-02,6882
Uzbekistan,2022-01-25,3947
Syria,2022-01-07,40969
Armenia,2022-01-12,6387
Ecuador,2022-01-28,59404
Venezuela,2022-01-23,126261
Peru,2022-02-09,107774
Brazil,2022-02-14,1179698
Mexico,2022-02-05,538711
Mali,2022-01-24,
Zambia,2022-02-16,15086
Dominican Republic,2022-01-04,11252
British Virgin Islands,2022-02-05,7
Zimbabwe,2022-01-12,13054
Mongolia,2022-02-10,569
Croatia,2022-02-06,5295
New Caledonia,2022-02-06,102
Slovenia,2022-01-18,7950
Samoa,2022-02-01,401
Israel,2022-02-12,6478
Aruba,2022-01-28,107
Slovakia,2022-01-09,24662
Estonia,2022-01-20,3983
Somalia,2022-02-04,1578
Canada,2022-01-28,260372
Ethiopia,2022-01-18,1157
Belize,2022-01-27,770
Wallis and Futuna,2022-01-16,6
Saudi Arabia,2022-02-05,239476
Kosovo,2022-01-09,2584
China,2022-02-05,971000
European Union,2022-01-16,3138242
Pakistan,2022-01-07,697715
Mozambique,2022-01-03,95417
India,2022-01-07,8103784
Mauritania,2022-02-17,
Jersey,2022-01-17,309
Venezuela,2022-01-22,126261
Italy,2022-02-07,340367
Botswana,2022-02-01,2733
Nepal,2022-01-20,219924
South Korea,2022-01-25,298450
South America,2022-02-04,2134179
Belgium,2022-01-14,113940
Saint Vincent and the Grenadines,2022-01-11,82
South America,2022-02-08,2118868
San Marino,2022-01-14,204
Mali,2022-02-02,
Northern Ireland,2022-02-10,2217
Paraguay,2022-01-16,24988
Guernsey,2022-02-06,82
European Union,2022-01-08,3134394
Guinea,2022-01-13,1431
Uganda,2022-02-04,185006
Austria,2022-02-06,24260
Portugal,2022-02-08,69606
Indonesia,2022-02-16,1252137
Australia,2022-01-21,281388
Philippines,2022-01-01,624261
Nigeria,2022-01-27,185225
Costa Rica,2022-02-13,20143
Ecuador,2022-01-19,96608
Latvia,2022-02-01,4898
Grenada,2022-01-12,184
Equatorial Guinea,2022-01-08,49
Uganda,2022-01-03,136612
Canada,2022-02-09,143657
Hungary,2022-01-20,25941
Bolivia,2022-02-08,30190
Northern Ireland,2022-01-11,7791
Slovenia,2022-01-06,5289
China,2022-01-20,4645714
Portugal,2022-01-07,55636
Qatar,2022-01-25,25153
Nigeria,2022-01-07,127885
Kiribati,2022-01-23,330
New Zealand,2022-02-13,52857
Bolivia,2022-02-04,35901
Iceland,2022-02-03,2223
Germany,2022-01-27,407723
Hong Kong,2022-01-14,40277
Oceania,2022-02-02,270826
Guatemala,2022-01-11,80952
Syria,2022-01-17,3722
Papua New Guinea,2022-01-24,803
Sweden,2022-01-28,69596
Senegal,2022-01-06,459
United Kingdom,2022-01-11,254760
Guatemala,2022-01-26,67201
Curacao,2022-02-01,227
Nicaragua,2022-01-29,34485
Estonia,2022-02-20,1040
Israel,2022-01-09,66924
Myanmar,2022-01-13,172362
Greece,2022-01-21,66656
Chad,2022-01-09,2544
Belgium,2022-01-29,43321
